id,display_name,source_book,source_pages,core_scheme,supplemental,assistance_guideline,conditioning_guideline,leader_anchor,category,tags,ui_main,ui_supplemental,ui_assistance,ui_conditioning,ui_notes,time_per_session_min,experience
5-s-pro-5x5-fsl,5's PRO + 5x5 FSL,Forever,62,5's PRO,5x5 @ FSL,Push/Pull/Single-Leg-Core 50–100 reps/workout (base),2–3 hard / 3–5 easy,Leader or Anchor,,phase:anchor|phase:leader|supplemental:fsl|template:forever,5's PRO main work.,Supplemental: 5x5 @ FSL.,Assistance: Push/Pull/Single-Leg-Core 50–100 reps/workout (base).,Conditioning: 2–3 hard / 3–5 easy.,Leader or Anchor,,
five-and-dime-leader-,Five and Dime (Leader),Forever,101,5x5/3/1 + 5/3/1 PR sets (3-day A/B),—,Push/Pull/Single-Leg-Core 25–50 each,2–3 hard / 3–5 easy,Leader,,phase:leader|scheme:5x5-531|template:forever,5x5/3/1 + 5/3/1 PR sets (3-day A/B) main work.,Supplemental: —.,Assistance: Push/Pull/Single-Leg-Core 25–50 each.,Conditioning: 2–3 hard / 3–5 easy.,Leader,,
five-and-dime-anchor-,Five and Dime (Anchor),Forever,103,5x5/3/1 kept constant across the cycle,—,Push/Pull/Single-Leg-Core 25–50 each,2–3 hard / 3–5 easy,Anchor,,phase:anchor|scheme:5x5-531|template:forever,5x5/3/1 kept constant across the cycle main work.,Supplemental: —.,Assistance: Push/Pull/Single-Leg-Core 25–50 each.,Conditioning: 2–3 hard / 3–5 easy.,Anchor,,
god-is-a-beast-leader-,God Is a Beast (Leader),Forever,107,5/3/1 PR sets + Spinal Tap (Strength 1/2/3 waves),SST variant in Anchor,Push/Pull/Single-Leg-Core 50–100 each,3 hard / 3–5 easy,Leader (2 cycles),,phase:leader|scheme:spinal-tap|template:forever,5/3/1 PR sets + Spinal Tap (Strength 1/2/3 waves) main work.,Supplemental: SST variant in Anchor.,Assistance: Push/Pull/Single-Leg-Core 50–100 each.,Conditioning: 3 hard / 3–5 easy.,Leader (2 cycles),,
leviathan,Leviathan,Forever,199,Work up to TM single each session,Choose one: 10×5 @ FSL (BBS) / 5×5 @ FSL / 5×10 @ FSL (BBB),Keep assistance modest,2–3 hard / 3–5 easy (as tolerable),Leader + Anchor,,phase:anchor|phase:leader|supplemental:bbb|supplemental:fsl|template:forever,Work up to TM single each session main work.,Supplemental: Choose one: 10×5 @ FSL (BBS) / 5×5 @ FSL / 5×10 @ FSL (BBB).,Assistance: Keep assistance modest.,Conditioning: 2–3 hard / 3–5 easy (as tolerable).,Leader + Anchor,,
triumvirate,Triumvirate,Forever,59,5/3/1,—,Push/Pull/Single-leg 50–100 reps each,3–4 easy sessions,Leader or Anchor,,phase:anchor|phase:leader|scheme:531|template:forever,5/3/1 main work.,Supplemental: —.,Assistance: Push/Pull/Single-leg 50–100 reps each.,Conditioning: 3–4 easy sessions.,Leader or Anchor,,
krypteia,Krypteia,Forever,91,5's PRO,FSL 5×5,Supersets: Push + Pull + Single-leg/Core (50–100 each),3–4 easy sessions,Leader,,phase:leader|supplemental:fsl|template:forever,5's PRO main work.,Supplemental: FSL 5×5.,Assistance: Supersets: Push + Pull + Single-leg/Core (50–100 each).,Conditioning: 3–4 easy sessions.,Leader,,
boring-but-strong-bbs-,Boring But Strong (BBS),Forever,70,5/3/1 PR sets,10×5 @ 70% (FSL),25–50 reps each category,2–3 easy sessions,Leader,,phase:leader|scheme:531|supplemental:fsl|template:forever,5/3/1 PR sets main work.,Supplemental: 10×5 @ 70% (FSL).,Assistance: 25–50 reps each category.,Conditioning: 2–3 easy sessions.,Leader,,
full-body-full-boring,"Full Body, Full Boring",Forever,84,5/3/1,BBB 5×10 (opposite lift),25–50 reps each,2–3 easy sessions,Leader,,phase:leader|scheme:531|supplemental:bbb|template:forever,5/3/1 main work.,Supplemental: BBB 5×10 (opposite lift).,Assistance: 25–50 reps each.,Conditioning: 2–3 easy sessions.,Leader,,
pervertor,Pervertor,Forever,113,3/5/1 PR sets,"Rotating (FSL, SSL, BBB by week)",50–100 reps,2–3 hard / 2–3 easy,Leader,,phase:leader|scheme:351|supplemental:bbb|supplemental:fsl|supplemental:ssl|template:forever,3/5/1 PR sets main work.,"Supplemental: Rotating (FSL, SSL, BBB by week).",Assistance: 50–100 reps.,Conditioning: 2–3 hard / 2–3 easy.,Leader,,
black-army-jacket,Black Army Jacket,Forever,120,5/3/1 PR sets,BBS 5×5 or BBB 5×10 (rotating),Push/Pull/Single-leg 25–50 reps,2–3 easy sessions,Leader,,phase:leader|scheme:531|supplemental:bbb|template:forever,5/3/1 PR sets main work.,Supplemental: BBS 5×5 or BBB 5×10 (rotating).,Assistance: Push/Pull/Single-leg 25–50 reps.,Conditioning: 2–3 easy sessions.,Leader,,
limited-time-bbb,Limited Time — BBB,Forever,134,5/3/1,BBB 5×10 (same lift),25–50 reps,2–3 easy sessions,Leader,,phase:leader|scheme:531|supplemental:bbb|template:forever,5/3/1 main work.,Supplemental: BBB 5×10 (same lift).,Assistance: 25–50 reps.,Conditioning: 2–3 easy sessions.,Leader,,
limited-time-bbs,Limited Time — BBS,Forever,136,5/3/1,BBS 10×5 @ 70%,25–50 reps,2–3 easy sessions,Leader,,phase:leader|scheme:531|template:forever,5/3/1 main work.,Supplemental: BBS 10×5 @ 70%.,Assistance: 25–50 reps.,Conditioning: 2–3 easy sessions.,Leader,,
wendler-classic,Wendler Classic,Forever,142,5/3/1 PR sets,FSL 5×5 or SSL 3×5,Push/Pull/Single-leg 25–50 reps,2–3 easy sessions,Anchor,,phase:anchor|scheme:531|supplemental:fsl|supplemental:ssl|template:forever,5/3/1 PR sets main work.,Supplemental: FSL 5×5 or SSL 3×5.,Assistance: Push/Pull/Single-leg 25–50 reps.,Conditioning: 2–3 easy sessions.,Anchor,,
walrus-training,Walrus Training,Forever,150,Bodyweight/weighted vest circuits,—,Push/Pull/Leg/Core as circuits (high volume),Daily easy sessions,N/A,,assistance:circuits|template:forever,Bodyweight/weighted vest circuits main work.,Supplemental: —.,Assistance: Push/Pull/Leg/Core as circuits (high volume).,Conditioning: Daily easy sessions.,N/A,,
full-body-2-day-option-1-,Full Body — 2 Day (Option 1),Forever,160,5/3/1 PR sets,FSL 5×5,Push/Pull/Leg 25–50 reps,3–4 easy sessions,Leader or Anchor,,phase:anchor|phase:leader|scheme:531|supplemental:fsl|template:forever,5/3/1 PR sets main work.,Supplemental: FSL 5×5.,Assistance: Push/Pull/Leg 25–50 reps.,Conditioning: 3–4 easy sessions.,Leader or Anchor,,
full-body-2-day-option-2-,Full Body — 2 Day (Option 2),Forever,162,5's PRO,BBB 5×10 (opposite lift),Push/Pull/Leg 25–50 reps,3–4 easy sessions,Leader,,phase:leader|supplemental:bbb|template:forever,5's PRO main work.,Supplemental: BBB 5×10 (opposite lift).,Assistance: Push/Pull/Leg 25–50 reps.,Conditioning: 3–4 easy sessions.,Leader,,
full-body-3-day-option-1-,Full Body — 3 Day (Option 1),Forever,165,5/3/1 PR sets,SSL 5×5,Push/Pull/Leg 25–50 reps,3–4 easy sessions,Leader,,phase:leader|scheme:531|supplemental:ssl|template:forever,5/3/1 PR sets main work.,Supplemental: SSL 5×5.,Assistance: Push/Pull/Leg 25–50 reps.,Conditioning: 3–4 easy sessions.,Leader,,
full-body-3-day-option-2-,Full Body — 3 Day (Option 2),Forever,168,5's PRO,BBS 10×5 @ 70%,Push/Pull/Leg 25–50 reps,3–4 easy sessions,Leader,,phase:leader|template:forever,5's PRO main work.,Supplemental: BBS 10×5 @ 70%.,Assistance: Push/Pull/Leg 25–50 reps.,Conditioning: 3–4 easy sessions.,Leader,,
full-body-4-day,Full Body — 4 Day,Forever,170,5/3/1,FSL 5×5,Push/Pull/Leg 25–50 reps,3–4 easy sessions,Leader or Anchor,,phase:anchor|phase:leader|scheme:531|supplemental:fsl|template:forever,5/3/1 main work.,Supplemental: FSL 5×5.,Assistance: Push/Pull/Leg 25–50 reps.,Conditioning: 3–4 easy sessions.,Leader or Anchor,,
building-the-monolith-btm-,Building the Monolith (BtM),Forever,128,5's PRO,BBS 5×5 @ 85% (squat/press),Pull: 100–200 reps; Push: 50–100 reps; Rows: 100 reps; Dips: 50 reps,3 hard + 3 easy conditioning sessions,Leader,,phase:leader|template:forever,5's PRO main work.,Supplemental: BBS 5×5 @ 85% (squat/press).,Assistance: Pull: 100–200 reps; Push: 50–100 reps; Rows: 100 reps; Dips: 50 reps.,Conditioning: 3 hard + 3 easy conditioning sessions.,Leader,,
krypteia-challenge,Krypteia Challenge,Forever,95,5's PRO,FSL 5×5 supersets,Push + Pull + Single-leg/Core in circuit fashion,3–4 easy sessions,Leader,,assistance:circuits|phase:leader|supplemental:fsl|template:forever,5's PRO main work.,Supplemental: FSL 5×5 supersets.,Assistance: Push + Pull + Single-leg/Core in circuit fashion.,Conditioning: 3–4 easy sessions.,Leader,,
2x2x2,2x2x2,Forever,178,5's PRO,2 supplemental lifts per day (light/moderate),Assistance optional,3–4 easy sessions,Leader,,phase:leader|template:forever,5's PRO main work.,Supplemental: 2 supplemental lifts per day (light/moderate).,Assistance: Assistance optional.,Conditioning: 3–4 easy sessions.,Leader,,
spinal-tap-strength-i,Spinal Tap — Strength I,Forever,186,Spinal Tap (multiple wave sets),—,Keep assistance minimal,"Conditioning optional, light only",Leader,,phase:leader|scheme:spinal-tap|template:forever,Spinal Tap (multiple wave sets) main work.,Supplemental: —.,Assistance: Keep assistance minimal.,"Conditioning: Conditioning optional, light only.",Leader,,
spinal-tap-strength-ii,Spinal Tap — Strength II,Forever,188,Spinal Tap (longer waves),—,Keep assistance minimal,"Conditioning optional, light only",Leader,,phase:leader|scheme:spinal-tap|template:forever,Spinal Tap (longer waves) main work.,Supplemental: —.,Assistance: Keep assistance minimal.,"Conditioning: Conditioning optional, light only.",Leader,,